operacion,cuenta1,cuenta2,monto
1,4639,0,2478.54
3,9667,8897,3274.01
2,6858,0,511.45
3,1675,5592,3911.34
8,9991,0,4969.8
3,4625,2707,2824.15
1,4639,0,2803.21
1,4927,0,2363.2
3,8172,3460,1000
2,5114,0,452.04
1,6492,0,4500
1,1515,0,2801.93
3,2019,9667,3539.09
3,4869,2837,3366.18
1,4614,0,4366.85
1,2626,0,3321.22
1,7587,0,2800
1,7587,0,4594.07
2,3533,0,3163.6
1,9112,0,1600
2,6618,0,4255
1,9794,0,3671.11
2,4639,0,-10000
2,2837,0,1516.03
3,3380,4639,356.89
3,9891,9114,4679.02
3,6158,8181,3929.55
3,6745,7501,3179.66
1,5592,0,2936.02
3,4625,9055,2272.58
3,3600,1675,4788.9
1,8897,0,538.32
1,9808,0,2813.17
1,5114,0,1527.28
3,5375,9891,2019.68
2,1658,0,715.3
3,9114,8105,1272.79
2,3533,0,4892.25
2,4625,0,1000
3,9112,9364,80
3,8022,9991,768.85
3,5478,3380,2346.7
3,5375,5715,2037.24
2,6286,0,2135.82
3,5715,5478,2571.82
3,6304,7725,588.14
2,1576,0,2939
4,4572,4625,3725.76
1,7717,0,3214.54
2,2707,0,435.94
3,7528,9991,2365.26
1,7587,0,3872.7
2,6193,0,2573.21
2,2019,0,1955.06
2,3139,0,3927.29
2,2707,0,860.8
3,7528,1830,2737.01
3,1576,4927,310.37
1,7528,0,1400
1,2508,0,368.04
3,6745,8172,4925.14
2,3533,0,4473.84
3,2707,4643,3284.29
2,8008,0,3540.22
3,1515,4880,718.72
1,3460,0,1340.3
1,7528,0,4890
2,9276,0,3513.11
1,2764,0,1130
2,1334,0,2018.17
2,5592,0,1109.81
3,8897,9114,2785.22
1,2626,0,3303.69
1,2764,0,4111.52
1,4639,0,612.85
2,8105,0,512.04
3,5375,6993,846.53
3,3139,4639,2702.21
3,6193,1334,4714.2
3,9114,5114,3199.37
2,2707,0,1372.7
1,3460,0,4819.54
1,4614,0,89.34
1,5592,0,4200
1,7717,0,3848.32
2,7528,0,4068.62
2,2546,0,3064.23
1,5592,0,3488.86
3,9504,2654,4365.19
1,6304,0,2553
2,7725,0,1818.3
3,8268,1830,1704.34
1,8422,0,3592.22
2,7567,0,1241.44
2,1725,0,2379.71
3,9750,3380,-42.1
3,7528,2019,989.91
1,7228,0,2880.67
3,4572,2508,500
1,1334,0,200
9,8105,0,359.46
1,9112,0,2462.31
1,2707,0,2460.44
3,7567,8607,4890.82
3,6858,3139,4334.55
2,7725,0,1386.83
3,1675,8258,4637.12
3,9634,7633,4478.27
2,1576,0,3561.43
2,7228,0,93.55
2,1827,0,3106.32
3,4927,8258,2241.42
2,7748,0,955
1,9991,0,112
1,7527,0,4069.44
1,4836,0,4395.48
3,2837,2034,1086.18
1,7207,0,1425.23
3,5478,9808,2224.33
3,1658,1346,1859.32
2,6158,0,144.67
1,9667,0,956.12
3,6858,6492,3471.66
1,7587,0,-800
2,2508,0,1866.57
2,2019,0,1342.99
1,8258,0,3883.25
3,6158,8268,4507.74
3,9276,3930,3560
3,5114,3533,3290
1,2877,0,699.99
2,2546,0,1437.43
1,2546,0,2067.14
2,6858,0,782.64
1,9504,0,3540.18
3,1675,7717,1415.79
3,8172,2019,2907.9
1,2034,0,4914.56
2,6858,0,3878.49
1,9667,0,4143.08
1,6193,0,1780.36
2,9112,0,3150.43
1,7587,0,4055.14
3,1346,7528,1301.78
2,8181,0,2037.24
3,1830,7587,1616.84
1,1658,0,555.3
3,9667,1515,4676.65
1,6286,0,94
2,1334,0,4230.2
2,9794,0,1924.56
2,5375,0,4653.74
1,2508,0,656.22
2,6618,0,3947.88
3,3034,7228,4390.65
2,5592,0,2054.76
1,2776,0,711.88
3,2546,4625,4615.91
1,3533,0,1776
3,2626,8181,351.37
2,9364,0,3419.58
1,2654,0,167.76
1,4869,0,3937.55
2,3460,0,700
2,2776,0,3689.63
2,4880,0,649.1
1,3930,0,4513.49
2,4643,0,300
1,9114,0,1024.93
1,8206,0,4761.7
1,6745,0,2893.29
2,1576,0,2000.55
1,9055,0,2060.56
2,8258,0,3361.05
3,2764,8607,3952.05
1,6993,0,4000
3,6492,2776,2384.55
1,6193,0,2193.46
1,9891,0,1310.38
1,4811,0,3455
2,2076,0,2209.65
3,8008,9114,676.26
2,2076,0,2077
3,2776,8268,1677.78
3,1658,7717,2022.96
2,2877,0,157.29
3,5592,2034,1244.85
1,7717,0,2833.5
3,9667,5915,2056.74
2,9808,0,3391.63
2,2654,0,589.04
3,1515,9891,-53.69
3,8897,9402,1796.51
1,7501,0,4055.81
2,8181,0,485.24
1,5375,0,4461.78
1,7725,0,1023.45
1,9504,0,3122.54
6,1827,0,3802.93
3,1559,2654,50000
